Brend,Code,Position,Link,Deal ID
OFP Funding,U9NWZWZV,2,https://www.wethrift.com/ofp-funding,F3XQXFCDL
PickleBall Super Store,Gyorgi-109165,2,https://www.wethrift.com/pickleball-superstore,FKXCJ2SKKC
Blue Guardian,INVEST,1,https://www.wethrift.com/blue-guardian,P3H78PKKCJ
Spartus,STOCKSPROM,1,https://www.wethrift.com/spartus,P3AAVJXK3C
Blueberry Funded,INVEST,2,https://www.wethrift.com/blueberry-funded,FKEZDZHCKJ
Pure Plank,STOCKSPROM,2,https://www.wethrift.com/pure-plank,P32GPVCR3J
BrightFunded,INVEST,1,https://www.wethrift.com/brightfunded,P3986ALCKJ
Spinwave Pickleball,STOCKSPROM,1,https://www.wethrift.com/spinwave-pickleball,FKVMDTFZCJ
Funding Traders,INVEST,1,https://www.wethrift.com/funding-traders,P3HSE6K3JJ
Intense Oud,STOCKSPROM,1,https://www.wethrift.com/intense-oud,PKXFXTG33J
Prop Number One,INVEST,1,https://www.wethrift.com/prop-number-one,PKA562ZF3J
City Trader Imperium,INVEST,2,https://www.wethrift.com/city-traders-imperium,F3LN4UGV9
Rebels Funding,INVEST,1,https://www.wethrift.com/rebels-funding,P3XPWN9RC3J
Hesacore,GYORGI10,2,https://www.wethrift.com/hesacore,P3QJDLDJKJ
Aqua Funded,INVEST,1,https://www.wethrift.com/aquafunded,FKKD69VNKC
ADV Tennis,STOCKSPROM,2,https://www.wethrift.com/adv-tennis,PKCL6WH2ZCC
Hantec Trader,INVEST,2,https://www.wethrift.com/hantec-trader,F3AVNZNZ3C
Pure Himalayan Shilajit ,STOCKSPROM,1,https://www.wethrift.com/pure-himalayan-shilajit,PKCJTFYK33J
Standout Pickleball,STOCKSPROM,1,https://www.wethrift.com/standout-pickleball,F3VFGUA5CJ
11SIX24 Pickleball,STOCKSPROM,2,https://www.wethrift.com/11six24-pickleball,PKKEYKBKKJ
Lark Funding,INVEST,1,https://www.wethrift.com/lark-funding,P36N3YSR3J
KVLR Pickleball Paddles,STOCKSPROM,1,https://www.wethrift.com/kvlr-pickleball-paddles,F3G4KL35JJ
Sway Funded,INVEST,1,https://www.wethrift.com/sway-funded,F3T23DGPKC
SLYCE Sport,STOCKSPROM,1,https://www.wethrift.com/slyce-sport,FKLHJLRAKC
quanttekel,INVEST,3,https://www.wethrift.com/quant-tekel,P3DNE33VKC
For Traders,INVEST,2,https://www.wethrift.com/for-traders,F3FWVZZD4
CPX Pickleball,GYORGI97518,1,https://www.wethrift.com/cpx-pickleball,P35HWS7EKJ
PipFarm,SHINY,2,https://www.wethrift.com/pipfarm,P3WGU94UN
FTUK,INVEST,2,https://www.wethrift.com/ftuk,FKZZCZ2TGKC
VORO Motors,GYORGI,2,https://www.wethrift.com/voro-motors,P34QA7VKKC
Nostro,INVEST,1,https://www.wethrift.com/nostro,F3BFJB5CCJ
ProDrive,STOCKSPROM,1,https://www.wethrift.com/prodrive,P3AQT25QCJ
FundYourFX,INVEST,2,https://www.wethrift.com/fundyourfx,PKLBWH9JE
Thrive Pickleball Paddles,STOCKSPROM,1,https://www.wethrift.com/thrive-pickleball-paddles,F3GC793XJC
