ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"8.42.68.121","elite","AS399869","US","Mountain Broadband","127","Level 3, LLC","39593","socks4","1","100","2460","2464","2025-06-26T16:50:41.034Z","3394"
"171.247.96.229","elite","AS7552","VN","Viettel Corporation","258","VIETEL","1080","socks4","1","82","2627","3189","2025-06-26T16:50:41.038Z","4008"
"1.1.1.145","elite","AS13335","AU","Cloudflare, Inc","10","APNIC and Cloudflare DNS Resolver project","80","socks4","1","100","1146","1146","2025-06-26T16:50:41.036Z","3505"
"61.191.119.134","elite","AS4134","CN","Chinanet","283","Chinanet AH","10800","socks4","65","97","1346","1382","2025-06-26T16:50:41.035Z","4464"
"78.141.193.27","elite","AS20473","GB","The Constant Company, LLC","14","Vultr Holdings LLC London","8888","socks4","1","100","2278","2283","2025-06-26T16:50:09.429Z","4985"
"198.177.57.80","elite","AS209242","DE","Serveryou Inc","7","Prime Formation GmbH","80","http","31596","100","23","23","2025-06-26T16:50:09.337Z","4321"
"38.154.92.201","elite","AS55286","US","B2 Net Solutions Inc.","103","ServerMania Inc","8800","socks4","1","100","1350","1351","2025-06-26T16:50:09.432Z","4214"
"45.225.106.104","elite","AS52468","EC","Ufinet Panama S.A.","164","Negocios Y Telefonia Nedetel S.A","999","socks4","1","100","786","789","2025-06-26T16:50:09.144Z","4202"
"104.17.127.122","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","31701","100","12","12","2025-06-26T16:50:09.250Z","328"
"47.74.64.65","elite","AS45102","AU","Alibaba Cloud LLC","106","Alibaba Cloud - AU","8123","socks4","1","30","975","3302","2025-06-26T16:50:09.145Z","3622"
"43.153.81.60","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","150","Tencent Cloud Computing","443","socks4","1","96","9642","10070","2025-06-26T16:50:09.636Z","4419"
"138.121.161.83","elite","AS263693","AR","WICORP SA","240","WICORP SA","8190","socks4","1","98","1690","1725","2025-06-26T16:50:09.632Z","4790"
"61.7.183.24","elite","AS131090","TH","CAT Telecom Public Company Limited","219","National Telecom Public Company Limited","4145","socks4","1","89","8806","9946","2025-06-26T16:50:09.429Z","3996"
